SYMBOL, CLOSE_PRICE,BEST_STK,PRC_VOL,CHNG_DELIV,CHANGE,SPREAD, DELIV_QTY,MEAN_DELIV,DELIV_QTY2,DELIV_QTY3,DELIV_QTY4,DELIV_QTY5,DELIV_QTY6,DELIV_QTY7, TURNOVER_LACS,AVG_TRADE_SIZE
MANAKSIA,70.75,False,False,83.37509861246461,-1.3937282229965158,4.509663564781683,79031,43098,79031,58822.0,21795.0,32481.0,34598.0,31866.0,100.94,0.040701612903225805
MANAKSTEEL,34.15,False,False,232.25082508250824,2.245508982035928,3.7091988130563793,302016,90900,302016,29856.0,92209.0,36177.0,47937.0,37209.0,118.87,0.12823085221143474
MANAPPURAM,195.45,False,False,6.486676079656832,-0.5090353779587682,3.5220453952517614,2377183,2232376,2377183,2345952.0,1497344.0,3271344.0,2027621.0,1874812.0,16998.17,0.35710441176470586
MANGALAM,169.0,False,False,-2.0112949569008225,0.6551518761167328,2.5903614457831394,59340,60558,59340,23876.0,22194.0,186932.0,29749.0,41258.0,233.58,0.06935273159144893
MANGCHEFER,83.8,False,False,-85.52935876257696,-0.5931198102016607,2.5362318840579814,96360,665900,96360,174703.0,345140.0,1872607.0,1166545.0,340046.0,136.32,0.06373071528751753
MANGLMCEM,449.1,False,False,57.34301540753154,-1.8789600174786905,5.381165919282512,101406,64449,101406,18337.0,65829.0,80859.0,81694.0,38574.0,1130.69,0.12630585344057194
MANINDS,126.15,False,False,157.47340069461399,1.4067524115755627,4.7835051546391725,653864,253954,653864,150015.0,203677.0,227166.0,75648.0,213359.0,1682.81,0.1659575936883629
MANINFRA,65.95,False,False,31.066296361885097,0.8409785932721668,6.984126984126993,1213784,926084,1213784,1118232.0,2541201.0,295476.0,171037.0,216774.0,1748.93,0.14841564833672777
MANUGRAPH,14.0,False,False,-82.85768405101655,0.0,3.956834532374093,2715,15838,2715,29465.0,46749.0,1570.0,10144.0,4386.0,1.03,0.019074074074074073
MANXT50,390.86,False,False,157.5565361279647,-0.3873795810183959,0.773506134262219,9339,3626,9339,1402.0,2315.0,3300.0,2921.0,2482.0,40.6,0.8458333333333333
MARALOVER,70.55,False,False,0.0,-4.726536124240378,6.538734896943865,230941,230941,230941,230941.0,230941.0,230941.0,230941.0,230941.0,200.39,0.08236333744348541
MARATHON,80.5,False,False,-62.598771523204135,-3.592814371257485,6.222501571338785,48895,130731,48895,71895.0,306145.0,239963.0,108219.0,9269.0,75.58,0.058680124223602484
MARICO,533.95,False,False,-51.49049734892832,0.8975812547241119,1.732298371828848,726342,1497319,726342,897842.0,1289099.0,2944099.0,1162429.0,1964104.0,7660.62,0.26665111907828326
